id,slug,localized_name,parent_id,icon,path,depth,sort_order,is_active,created_at,updated_at
33,gel-pens,"{""en"":""Gel Pens"",""ar"":""أقلام جل""}",32,,/24/32/33/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
34,ballpoint-pens,"{""en"":""Ballpoint Pens"",""ar"":""أقلام حبر جاف""}",32,,/24/32/34/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
35,fountain-pens,"{""en"":""Fountain Pens"",""ar"":""أقلام ريشة""}",32,,/24/32/35/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
36,refills,"{""en"":""Refills"",""ar"":""عبوات تعبئة""}",24,,/24/36/,1,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
37,mechanical-pencil-leads,"{""en"":""Mechanical Pencil Leads"",""ar"":""رصاص لأقلام ميكانيكية""}",36,,/24/36/37/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
38,toys-games-and-learning-tools,"{""en"":""Toys Games And Learning Tools"",""ar"":""ألعاب وأدوات تعلم""}",,,/38/,0,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
39,toys-and-games,"{""en"":""Toys And Games"",""ar"":""ألعاب""}",38,,/38/39/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
40,vehicles,"{""en"":""Vehicles"",""ar"":""مركبات""}",39,,/38/39/40/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
41,dolls,"{""en"":""Dolls"",""ar"":""دمى""}",39,,/38/39/41/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
42,art-and-craft-supplies,"{""en"":""Art And Craft Supplies"",""ar"":""مستلزمات الفنون والحرف""}",,,/42/,0,4,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
43,craft-materials,"{""en"":""Craft Materials"",""ar"":""مواد حرفية""}",42,,/42/43/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
44,foam-sheets,"{""en"":""Foam Sheets"",""ar"":""شرائح فوم""}",43,,/42/43/44/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
45,glitter,"{""en"":""Glitter"",""ar"":""جليتر""}",43,,/42/43/45/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
46,stickers,"{""en"":""Stickers"",""ar"":""ملصقات""}",43,,/42/43/46/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
47,cutting-tools,"{""en"":""Cutting Tools"",""ar"":""أدوات قص""}",42,,/42/47/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
48,scissors,"{""en"":""Scissors"",""ar"":""مقصات""}",47,,/42/47/48/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
49,cutters,"{""en"":""Cutters"",""ar"":""كترات""}",47,,/42/47/49/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
50,coloring-tools,"{""en"":""Coloring Tools"",""ar"":""أدوات تلوين""}",42,,/42/50/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
51,crayons,"{""en"":""Crayons"",""ar"":""ألوان شمعية""}",50,,/42/50/51/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
52,oil-pastels,"{""en"":""Oil Pastels"",""ar"":""ألوان زيتية""}",50,,/42/50/52/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
53,office-supplies,"{""en"":""Office Supplies"",""ar"":""مستلزمات مكتبية""}",,,/53/,0,5,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
54,desk-accessories,"{""en"":""Desk Accessories"",""ar"":""إكسسوارات مكتب""}",53,,/53/54/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
55,staplers,"{""en"":""Staplers"",""ar"":""دباسات""}",54,,/53/54/55/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
56,hole-punchers,"{""en"":""Hole Punchers"",""ar"":""خرامات""}",54,,/53/54/56/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
57,clips,"{""en"":""Clips"",""ar"":""مشابك""}",54,,/53/54/57/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
58,business-forms,"{""en"":""Business Forms"",""ar"":""نماذج أعمال""}",53,,/53/58/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
59,envelopes,"{""en"":""Envelopes"",""ar"":""أظرفة""}",58,,/53/58/59/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
60,labels,"{""en"":""Labels"",""ar"":""ملصقات تعريفية""}",53,,/53/60/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
61,labels-2,"{""en"":""Labels 2"",""ar"":""ملصقات تعريفية 2""}",60,,/53/60/61/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
62,bags-cases-and-storage,"{""en"":""Bags Cases And Storage"",""ar"":""حقائب وحافظات وتخزين""}",,,/62/,0,6,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
63,display,"{""en"":""Display"",""ar"":""عرض""}",62,,/62/63/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
64,stands,"{""en"":""Stands"",""ar"":""حوامل""}",63,,/62/63/64/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
65,storage,"{""en"":""Storage"",""ar"":""تخزين""}",62,,/62/65/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
66,cabinets,"{""en"":""Cabinets"",""ar"":""خزائن""}",65,,/62/65/66/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
67,household-and-lifestyle,"{""en"":""Household And Lifestyle"",""ar"":""الأدوات المنزلية وأسلوب الحياة""}",,,/67/,0,7,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
68,home,"{""en"":""Home"",""ar"":""المنزل""}",67,,/67/68/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
69,blankets,"{""en"":""Blankets"",""ar"":""بطانيات""}",68,,/67/68/69/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
70,buckets,"{""en"":""Buckets"",""ar"":""أوعية""}",68,,/67/68/70/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
71,rugs,"{""en"":""Rugs"",""ar"":""سجاد""}",68,,/67/68/71/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
72,drinkware,"{""en"":""Drinkware"",""ar"":""أدوات شرب""}",67,,/67/72/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
73,cups,"{""en"":""Cups"",""ar"":""أكواب""}",72,,/67/72/73/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
74,mugs,"{""en"":""Mugs"",""ar"":""مجات""}",72,,/67/72/74/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
75,kitchenware,"{""en"":""Kitchenware"",""ar"":""أدوات مطبخ""}",67,,/67/75/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
76,plates,"{""en"":""Plates"",""ar"":""أطباق""}",75,,/67/75/76/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
77,organization-and-filing,"{""en"":""Organization And Filing"",""ar"":""التنظيم والأرشفة""}",,,/77/,0,8,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
78,desk-organizers,"{""en"":""Desk Organizers"",""ar"":""منظمات مكتب""}",77,,/77/78/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
79,holders,"{""en"":""Holders"",""ar"":""حوامل""}",78,,/77/78/79/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
