id,slug,parent_id,icon,path,depth,sort_order,is_active,created_at,updated_at
27,sharpeners,25,,/24/25/27/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,highlighters-and-markers,24,,/24/28/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,whiteboard-markers,28,,/24/28/29/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,permanent-markers,28,,/24/28/30/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
31,highlighters,28,,/24/28/31/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
32,pens,24,,/24/32/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
33,gel-pens,32,,/24/32/33/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
34,ballpoint-pens,32,,/24/32/34/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
35,fountain-pens,32,,/24/32/35/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
36,refills,24,,/24/36/,1,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
37,mechanical-pencil-leads,36,,/24/36/37/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
38,toys-games-and-learning-tools,,,/38/,0,3,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
39,toys-and-games,38,,/38/39/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
40,vehicles,39,,/38/39/40/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
41,dolls,39,,/38/39/41/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
42,art-and-craft-supplies,,,/42/,0,4,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
43,craft-materials,42,,/42/43/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
44,foam-sheets,43,,/42/43/44/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
45,glitter,43,,/42/43/45/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
46,stickers,43,,/42/43/46/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
47,cutting-tools,42,,/42/47/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
48,scissors,47,,/42/47/48/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
49,cutters,47,,/42/47/49/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
50,coloring-tools,42,,/42/50/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
51,crayons,50,,/42/50/51/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
52,oil-pastels,50,,/42/50/52/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
53,office-supplies,,,/53/,0,5,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
54,desk-accessories,53,,/53/54/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
55,staplers,54,,/53/54/55/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
56,hole-punchers,54,,/53/54/56/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
57,clips,54,,/53/54/57/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
58,business-forms,53,,/53/58/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
59,envelopes,58,,/53/58/59/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
60,labels,53,,/53/60/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
61,labels-2,60,,/53/60/61/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
62,bags-cases-and-storage,,,/62/,0,6,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
63,display,62,,/62/63/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
64,stands,63,,/62/63/64/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
65,storage,62,,/62/65/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
66,cabinets,65,,/62/65/66/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
67,household-and-lifestyle,,,/67/,0,7,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
68,home,67,,/67/68/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
69,blankets,68,,/67/68/69/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
70,buckets,68,,/67/68/70/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
71,rugs,68,,/67/68/71/,2,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
72,drinkware,67,,/67/72/,1,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
73,cups,72,,/67/72/73/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
74,mugs,72,,/67/72/74/,2,1,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
75,kitchenware,67,,/67/75/,1,2,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
76,plates,75,,/67/75/76/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
77,organization-and-filing,,,/77/,0,8,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
78,desk-organizers,77,,/77/78/,1,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
79,holders,78,,/77/78/79/,2,0,t,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
