category_id,language,name,description,created_at,updated_at
12,ar,هدايا مكتبية,تصفح هدايا مكتبية,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
13,en,Certificates,Browse Certificates,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
13,ar,شهادات,تصفح شهادات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,en,School Essentials,Browse School Essentials,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,ar,مستلزمات المدرسة,تصفح مستلزمات المدرسة,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,en,Lunchboxes & Water Bottles,Browse Lunchboxes & Water Bottles,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,ar,لانش بوكس وزمزميات,تصفح لانش بوكس وزمزميات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,en,Water Bottles,Browse Water Bottles,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,ar,زمزميات,تصفح زمزميات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,en,Lunchboxes,Browse Lunchboxes,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,ar,لانش بوكس,تصفح لانش بوكس,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,en,Geometry Tools,Browse Geometry Tools,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,ar,أدوات هندسية,تصفح أدوات هندسية,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,en,Rulers,Browse Rulers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,ar,مساطر,تصفح مساطر,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
20,en,Math Sets,Browse Math Sets,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
20,ar,أطقم هندسية,تصفح أطقم هندسية,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,en,Set Squares,Browse Set Squares,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,ar,مثلث,تصفح مثلث,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,en,Compasses,Browse Compasses,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,ar,برجل,تصفح برجل,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,en,Protractors,Browse Protractors,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,ar,منقلات,تصفح منقلات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,en,Writing Instruments,Browse Writing Instruments,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,ar,أدوات الكتابة,تصفح أدوات الكتابة,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,en,Writing Accessories,Browse Writing Accessories,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,ar,إكسسوارات الكتابة,تصفح إكسسوارات الكتابة,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,en,Erasers,Browse Erasers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,ar,استيكة,تصفح استيكة,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
27,en,Sharpeners,Browse Sharpeners,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
27,ar,براية,تصفح براية,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,en,Highlighters & Markers,Browse Highlighters & Markers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,ar,هايلايتر وماركر,تصفح هايلايتر وماركر,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,en,Whiteboard Markers,Browse Whiteboard Markers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,ar,ماركر سبورة,تصفح ماركر سبورة,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,en,Permanent Markers,Browse Permanent Markers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,ar,ماركر ثابت,تصفح ماركر ثابت,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
31,en,Highlighters,Browse Highlighters,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
31,ar,هايلايتر,تصفح هايلايتر,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
32,en,Pens,Browse Pens,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
32,ar,أقلام,تصفح أقلام,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
33,en,Gel Pens,Browse Gel Pens,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
33,ar,أقلام جيل,تصفح أقلام جيل,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
34,en,Ballpoint Pens,Browse Ballpoint Pens,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
34,ar,أقلام جاف,تصفح أقلام جاف,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
35,en,Fountain Pens,Browse Fountain Pens,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
35,ar,أقلام حبر,تصفح أقلام حبر,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
36,en,Refills,Browse Refills,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
36,ar,إعادة تعبئة,تصفح إعادة تعبئة,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
37,en,Mechanical Pencil Leads,Browse Mechanical Pencil Leads,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
37,ar,سنون,تصفح سنون,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
38,en,"Toys, Games & Learning Tools","Browse Toys, Games & Learning Tools",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
38,ar,ألعاب وتعليم,تصفح ألعاب وتعليم,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
39,en,Toys & Games,Browse Toys & Games,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
39,ar,ألعاب,تصفح ألعاب,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
40,en,Vehicles,Browse Vehicles,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
40,ar,عربيات,تصفح عربيات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
41,en,Dolls,Browse Dolls,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
41,ar,عرائس,تصفح عرائس,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
42,en,Art & Craft Supplies,Browse Art & Craft Supplies,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
42,ar,أدوات الفن والحرف,تصفح أدوات الفن والحرف,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
43,en,Craft Materials,Browse Craft Materials,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
43,ar,خامات هاند ميد,تصفح خامات هاند ميد,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
44,en,Foam Sheets,Browse Foam Sheets,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
44,ar,فوم,تصفح فوم,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
45,en,Glitter,Browse Glitter,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
45,ar,جليتر,تصفح جليتر,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
46,en,Stickers,Browse Stickers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
46,ar,استيكر,تصفح استيكر,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
47,en,Cutting Tools,Browse Cutting Tools,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
47,ar,أدوات القص,تصفح أدوات القص,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
48,en,Scissors,Browse Scissors,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
48,ar,مقص,تصفح مقص,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
49,en,Cutters,Browse Cutters,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
49,ar,قطاعات,تصفح قطاعات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
50,en,Coloring Tools,Browse Coloring Tools,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
50,ar,أدوات التلوين,تصفح أدوات التلوين,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
51,en,Crayons,Browse Crayons,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
51,ar,Crayons,تصفح Crayons,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
52,en,Oil Pastels,Browse Oil Pastels,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
52,ar,Oil Pastels,تصفح Oil Pastels,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
53,en,Office Supplies,Browse Office Supplies,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
53,ar,مستلزمات المكتب,تصفح مستلزمات المكتب,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
54,en,Desk Accessories,Browse Desk Accessories,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
54,ar,أدوات مكتب,تصفح أدوات مكتب,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
55,en,Staplers,Browse Staplers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
55,ar,دباسات,تصفح دباسات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
56,en,Hole Punchers,Browse Hole Punchers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
56,ar,خرامات,تصفح خرامات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
57,en,Clips,Browse Clips,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
57,ar,كليبس,تصفح كليبس,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
58,en,Business Forms,Browse Business Forms,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
58,ar,نماذج مكتبية,تصفح نماذج مكتبية,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
59,en,Envelopes,Browse Envelopes,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
59,ar,مظاريف,تصفح مظاريف,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
60,en,Labels,Browse Labels,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
60,ar,ملصقات,تصفح ملصقات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
61,en,Labels,Browse Labels,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
61,ar,ملصقات,تصفح ملصقات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
62,en,"Bags, Cases & Storage","Browse Bags, Cases & Storage",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
62,ar,شنط وحافظات وتخزين,تصفح شنط وحافظات وتخزين,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
63,en,Display,Browse Display,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
63,ar,ستاند عرض,تصفح ستاند عرض,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
64,en,Stands,Browse Stands,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
64,ar,Stands,تصفح Stands,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
65,en,Storage,Browse Storage,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
65,ar,تخزين,تصفح تخزين,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
66,en,Cabinets,Browse Cabinets,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
66,ar,Cabinets,تصفح Cabinets,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
67,en,Household & Lifestyle,Browse Household & Lifestyle,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
67,ar,منزل ومستلزمات,تصفح منزل ومستلزمات,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
68,en,Home,Browse Home,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
68,ar,مستلزمات منزل,تصفح مستلزمات منزل,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
69,en,Blankets,Browse Blankets,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
69,ar,بطاطين,تصفح بطاطين,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
70,en,Buckets,Browse Buckets,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
70,ar,جردل,تصفح جردل,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
71,en,Rugs,Browse Rugs,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
71,ar,سجاد,تصفح سجاد,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
72,en,Drinkware,Browse Drinkware,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
72,ar,أكواب ومج,تصفح أكواب ومج,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
73,en,Cups,Browse Cups,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
73,ar,أكواب,تصفح أكواب,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
74,en,Mugs,Browse Mugs,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
74,ar,مج,تصفح مج,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
75,en,Kitchenware,Browse Kitchenware,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
75,ar,أدوات مطبخ,تصفح أدوات مطبخ,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
76,en,Plates,Browse Plates,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
76,ar,أطباق,تصفح أطباق,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
77,en,Organization & Filing,Browse Organization & Filing,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
77,ar,تنظيم وأرشفة,تصفح تنظيم وأرشفة,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
78,en,Desk Organizers,Browse Desk Organizers,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
78,ar,منظمات مكتب,تصفح منظمات مكتب,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
79,en,Holders,Browse Holders,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
79,ar,حامل,تصفح حامل,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
